PHP5.5	Languages	-2		
PHP7	Languages	1.7		
Puppet	Platforms & Infrastructure	-2		
AWS S3	Data Mgt	2		
Symfony 2	Techniques; Frameworks & Tools	-2		
Symfony 3.2	Techniques; Frameworks & Tools	1.7		
